riskId,title,(r)=>r.domain?.name||r.domain||'',owner,(r)=>getResidual(r),status,treatment
"R-008","Ransomware infection","Cybersecurity","CISO",20,"Open","Mitigate"
"R-001","Unauthorised access to customer data","Cybersecurity","Head of IT Security",16,"Open","Mitigate"
"R-004","Third-party vendor data breach","Third Party Risk","Procurement Director",16,"Open","Transfer"
"R-013","Insider threat from privileged users","Information Security","Head of IT Security",15,"Open","Mitigate"
"R-002","Phishing campaign targeting staff","Information Security","CISO",12,"In Progress","Mitigate"
"R-003","Cloud misconfiguration exposure","Cybersecurity","Head of Cloud",12,"Open","Mitigate"
"R-005","Regulatory fine for AML gaps","Compliance","Head of Compliance",12,"Open","Mitigate"
"R-006","Core system outage during peak","Operational","COO",12,"Open","Mitigate"
"R-007","Fraudulent wire transfers","Cybersecurity","Head of Fraud",12,"In Progress","Mitigate"
"R-010","Legacy application end-of-life","Information Security","Head of Applications",12,"Accepted","Avoid"
"R-012","AI model bias in credit scoring","Information Security","Chief Risk Officer",12,"In Progress","Mitigate"
"R-016","Insider data exfiltration via USB","Information Security","Head of IT Security",12,"Closed","Mitigate"
"R-011","Business continuity plan untested","Operational","BCP Coordinator",8,"Open","Mitigate"
"R-014","Supplier concentration risk","Third Party Risk","Procurement Director",8,"Open","Transfer"
"R-015","Card data interception in transit","Financial","Head of Payments",8,"Closed","Mitigate"
"R-009","Data privacy complaint volume","Compliance","Data Protection Officer",6,"Open","Accept"
